job_id,stage_id,task_id,job_arrival_t,task_start_t,task_end_t,task_dur,job_end_t,job_dur
61,0,13,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,19,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,0,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,3,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,9,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,6,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,12,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,15,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,0,18,6991646.969675502,6993646.969675502,6994834.519675502,1187,7002328.769675502,10681
61,1,5,6991646.969675502,6994834.519675502,6996325.519675502,1491,7002328.769675502,10681
61,1,4,6991646.969675502,6996325.519675502,6996816.519675502,491,7002328.769675502,10681
61,1,0,6991646.969675502,6996816.519675502,6997307.519675502,491,7002328.769675502,10681
61,1,3,6991646.969675502,6997307.519675502,6997798.519675502,491,7002328.769675502,10681
61,1,1,6991646.969675502,6996612.519675502,6998103.519675502,1491,7002328.769675502,10681
61,1,6,6991646.969675502,6997798.519675502,6998289.519675502,491,7002328.769675502,10681
61,1,2,6991646.969675502,6998103.519675502,6998594.519675502,491,7002328.769675502,10681
61,2,0,6991646.969675502,6998594.519675502,6999815.769675502,1221,7002328.769675502,10681
61,2,1,6991646.969675502,6998594.519675502,6999815.769675502,1221,7002328.769675502,10681
61,2,2,6991646.969675502,6998594.519675502,6999815.769675502,1221,7002328.769675502,10681
61,2,3,6991646.969675502,6998594.519675502,6999815.769675502,1221,7002328.769675502,10681
61,3,2,6991646.969675502,6994834.519675502,6996223.519675502,1389,7002328.769675502,10681
61,3,4,6991646.969675502,6994834.519675502,6996223.519675502,1389,7002328.769675502,10681
61,3,1,6991646.969675502,6996223.519675502,6996612.519675502,389,7002328.769675502,10681
61,3,0,6991646.969675502,6996223.519675502,6996612.519675502,389,7002328.769675502,10681
61,3,3,6991646.969675502,6996612.519675502,6997001.519675502,389,7002328.769675502,10681
61,4,0,6991646.969675502,6999815.769675502,7000924.269675502,1108,7002328.769675502,10681
