 Experiment N , 100 ,,,,,,,,, bin N ,1000,,aliali,,,,,,,,
,,,,,,,,,,,, 15 ,,,,,,,,,
"""2_DNN_3_None""","""2_Hyperheuristic_3_None""","""5_DNN_3_None""","""5_Hyperheuristic_3_None""","""2_DNN_3_DTS""","""2_Hyperheuristic_3_DTS""","""5_DNN_3_DTS""","""5_Hyperheuristic_3_DTS""",Decima,,,, 429 ," ""2_DNN_3_None"" "," ""2_Hyperheuristic_3_None"" "," ""5_DNN_3_None"" "," ""5_Hyperheuristic_3_None"" "," ""2_DNN_3_DTS"" "," ""2_Hyperheuristic_3_DTS"" "," ""5_DNN_3_DTS"" "," ""5_Hyperheuristic_3_DTS"" ", Decima 
 22 , 90 , 23 , 36 , 18 , 29 , 19 , 53 , 18 ,,, 67 , 43 ,98%,26%,95%,39%,96%,43%,96%,33%,100%
 21 , 35 , 37 , 146 , 19 , 160 , 162 , 46 , 17 ,,, 68 , 43 ,98%,26%,95%,39%,96%,43%,96%,34%,100%
 25 , 189 , 43 , 28 , 16 , 23 , 17 , 151 , 19 ,,, 69 , 44 ,98%,27%,96%,39%,96%,43%,96%,34%,100%
 23 , 199 , 21 , 196 , 17 , 294 , 19 , 20 , 17 ,,, 70 , 44 ,98%,27%,96%,39%,96%,43%,96%,34%,100%
 26 , 39 , 21 , 30 , 164 , 144 , 17 , 23 , 17 ,,, 71 , 45 ,98%,28%,96%,40%,96%,43%,96%,34%,100%
 22 , 241 , 22 , 198 , 17 , 158 , 18 , 55 , 18 ,,, 72 , 45 ,98%,28%,97%,40%,96%,43%,96%,35%,100%
 28 , 31 , 21 , 81 , 18 , 175 , 18 , 295 , 18 ,,, 73 , 46 ,98%,29%,97%,41%,96%,43%,96%,35%,100%
 21 , 196 , 23 , 220 , 17 , 25 , 18 , 172 , 16 ,,, 74 , 46 ,99%,31%,97%,41%,96%,44%,96%,37%,100%
 25 , 194 , 25 , 199 , 16 , 157 , 18 , 55 , 17 ,,, 75 , 46 ,99%,31%,99%,42%,96%,44%,96%,37%,100%
 23 , 195 , 31 , 34 , 18 , 50 , 19 , 78 , 17 ,,, 76 , 47 ,100%,31%,99%,42%,96%,44%,96%,38%,100%
